Sample ID	Layer	Month	Day	Year	JulDay	Month_char	MeanSecchi	Bloom	Depth	Temp	DO	Chla(Epicore_extracted)	Phycocyanin1_mean	Chla(pigment)	Phycocyanin2_mean	 Phycoerythrin_mean
KAW01	epicore	7	11	2018	192	July	5.36	no	0-4m	25.9	8.02	5.85	1.3418	0.7818	3.6814	0.653
KAW10	thermo	7	24	2018	205	July	2.945	yes	6-10m	16.075	4.3	10.6	3.943	1.2955	6.4335	0.6515
KAW11	Domax	7	24	2018	205	July	2.945	yes	13m	7.4	5.9	10.6	nd	nd	nd	nd
KAW12	Domin	7	24	2018	205	July	2.945	yes	8m	13.9	3.3	10.6	nd	nd	nd	nd
KAW13	epicore	7	31	2018	212	July	4.285	yes	0-5m	25.94	8.36	6.6	3.7834	1.2916	6.4864	0.353
KAW14	thermo	7	31	2018	212	July	4.285	yes	6-9m	18.26	4.2	6.6	4.78633333	1.90166667	7.44433333	0.80433333
KAW15	Domax	7	31	2018	212	July	4.285	yes	12m	7.9	5.2	6.6	nd	nd	nd	nd
KAW16	Domin	7	31	2018	212	July	4.285	yes	8m	14.7	2.5	6.6	nd	nd	nd	nd
KAW18	thermo	8	7	2018	219	August	4.93	no	7-11m	19.08	3.84	6.7	6.312	1.248	8.78733333	0.456
KAW19	Domax	8	7	2018	219	August	4.93	no	13m	7.7	5.2	6.7	nd	nd	nd	nd
KAW02	epicore	7	11	2018	195	July	5.36	no	0-4m	25.9	8.02	5.85	1.3418	0.7818	3.6814	0.653
KAW20	Domin	8	7	2018	219	August	4.93	no	7m	19.5	1.7	6.7	6.373	0.827	8.599	0.479
KAW24	epicore	8	15	2018	227	August	5.77	no	0-6m	25.6833333	7.5	5.7	6.60783333	0.63983333	9.22366667	0.40683333
KAW25	thermo	8	15	2018	227	August	5.77	no	7-10m	16.04	2.24	5.7	2.8925	0.6215	5.3935	0.4635
KAW26	Domax	8	15	2018	227	August	5.77	no	12m	8.1	4.2	5.7	nd	nd	nd	nd
KAW27	Domin	8	15	2018	227	August	5.77	no	8m	15.5	1	5.7	nd	nd	nd	nd
KAW28	epicore	8	21	2018	233	August	5.835	no	0-6m	24.9714286	7.34285714	4.65	2.26271429	0.741	4.45585714	0.45885714
KAW29	thermo	8	21	2018	233	August	5.835	no	7-12m	16.2	1.13333333	4.65	7.393	0.981	0.617	0.653
